Identifier,Descriptor
/m/0124qd,"['wordnet_physical_entity_100001930', 'wordnet_island_109316454', 'wordnet_land_109334396', 'wordnet_archipelago_109203827', 'wordnet_object_100002684']"
/m/0125q1,"['wordnet_physical_entity_100001930', 'wordnet_county_108546183', 'wordnet_location_100027167', 'wordnet_region_108630039', 'wordnet_object_100002684']"
/m/0126t5,"['wordnet_auditory_communication_107109019', 'wordnet_expressive_style_107066659', 'wordnet_communication_100033020', 'wordnet_music_107020895', 'wordnet_abstraction_100002137', 'wordnet_music_genre_107071942']"
/m/01279v,"['wordnet_physical_entity_100001930', 'wordnet_district_108552138', 'wordnet_county_108546183', 'wordnet_location_100027167', 'wordnet_region_108630985', 'wordnet_region_108630039', 'wordnet_administrative_district_108491826', 'wordnet_object_100002684']"
/m/012b30,"['wordnet_institution_108053576', 'wordnet_abstraction_100002137', 'wordnet_organization_108008335', 'wordnet_social_group_107950920', 'wordnet_group_100031264', 'wordnet_company_108058098']"
/m/012f86,"['wordnet_people_107942152', 'wordnet_ethnic_group_107967382', 'wordnet_abstraction_100002137', 'wordnet_group_100031264']"
/m/012fvq,"['wordnet_university_108286569', 'wordnet_institution_108053576', 'wordnet_abstraction_100002137', 'wordnet_organization_108008335', 'wordnet_social_group_107950920', 'wordnet_educational_institution_108276342', 'wordnet_group_100031264']"
/m/012gyf,"['wordnet_university_108286569', 'wordnet_institution_108053576', 'wordnet_abstraction_100002137', 'wordnet_organization_108008335', 'wordnet_school_108276720', 'wordnet_social_group_107950920', 'wordnet_educational_institution_108276342', 'wordnet_group_100031264']"
/m/012lzr,"['wordnet_social_group_107950920', 'wordnet_university_108286569', 'wordnet_institution_108053576', 'wordnet_abstraction_100002137', 'wordnet_educational_institution_108276342', 'wordnet_group_100031264', 'wordnet_organization_108008335']"
/m/012m_,"['wordnet_district_108552138', 'wordnet_country_108544813', 'wordnet_location_100027167', 'wordnet_region_108630985', 'wordnet_administrative_district_108491826', 'wordnet_object_100002684', 'wordnet_empire_108557482', 'wordnet_domain_108556491', 'wordnet_physical_entity_100001930']"
/m/012qxv,"['wordnet_physical_entity_100001930', 'wordnet_district_108552138', 'wordnet_county_108546183', 'wordnet_location_100027167', 'wordnet_region_108630985', 'wordnet_region_108630039', 'wordnet_administrative_district_108491826', 'wordnet_object_100002684']"
/m/012rrr,"['wordnet_physical_entity_100001930', 'wordnet_district_108552138', 'wordnet_location_100027167', 'wordnet_region_108630985', 'wordnet_region_108630039', 'wordnet_administrative_district_108491826', 'wordnet_object_100002684']"
/m/012v8,"['wordnet_communication_100033020', 'wordnet_abstraction_100002137', 'wordnet_language_106282651']"
/m/012vwb,"['wordnet_university_108286569', 'wordnet_institution_108053576', 'wordnet_abstraction_100002137', 'wordnet_organization_108008335', 'wordnet_social_group_107950920', 'wordnet_educational_institution_108276342', 'wordnet_group_100031264']"
/m/012w70,"['wordnet_tone_language_106904943', 'wordnet_communication_100033020', 'wordnet_abstraction_100002137', 'wordnet_natural_language_106904171', 'wordnet_language_106282651']"
/m/012wgb,"['wordnet_island_109316454', 'wordnet_location_100027167', 'wordnet_region_108630039', 'wordnet_object_100002684', 'wordnet_physical_entity_100001930', 'wordnet_land_109334396']"
/m/012wxt,"['wordnet_activity_100407535', 'wordnet_occupation_100582388', 'wordnet_communication_100033020', 'wordnet_video_106277803', 'wordnet_abstraction_100002137', 'wordnet_psychological_feature_100023100', 'wordnet_act_100030358', 'wordnet_visual_communication_106873252', 'wordnet_event_100029378']"
/m/012wyq,"['wordnet_geographical_area_108574314', 'wordnet_location_100027167', 'wordnet_region_108630985', 'wordnet_region_108630039', 'wordnet_object_100002684', 'wordnet_physical_entity_100001930', 'wordnet_tract_108673395', 'wordnet_subdivision_108674251', 'wordnet_county_108546183']"
/m/012x03,"['wordnet_social_group_107950920', 'wordnet_musical_organization_108246613', 'wordnet_abstraction_100002137', 'wordnet_group_100031264', 'wordnet_organization_108008335']"
/m/012x1l,"['wordnet_social_group_107950920', 'wordnet_rock_group_108250501', 'wordnet_musical_organization_108246613', 'wordnet_abstraction_100002137', 'wordnet_group_100031264', 'wordnet_dance_band_108249960', 'wordnet_organization_108008335']"
/m/012x8m,"['wordnet_institution_108053576', 'wordnet_abstraction_100002137', 'wordnet_organization_108008335', 'wordnet_social_group_107950920', 'wordnet_group_100031264', 'wordnet_company_108058098']"
/m/01314k,"['wordnet_social_group_107950920', 'wordnet_university_108286569', 'wordnet_institution_108053576', 'wordnet_abstraction_100002137', 'wordnet_educational_institution_108276342', 'wordnet_group_100031264', 'wordnet_organization_108008335']"
/m/0132_h,"['wordnet_social_group_107950920', 'wordnet_abstraction_100002137', 'wordnet_association_108049401', 'wordnet_group_100031264', 'wordnet_baseball_team_108079319', 'wordnet_organization_108008335', 'wordnet_team_108208560', 'wordnet_club_108227214', 'wordnet_unit_108189659']"
/m/0133_p,"['wordnet_auditory_communication_107109019', 'wordnet_attribute_100024264', 'wordnet_property_104916342', 'wordnet_manner_104928903', 'wordnet_expressive_style_107066659', 'wordnet_communication_100033020', 'wordnet_music_107020895', 'wordnet_abstraction_100002137', 'wordnet_music_genre_107071942']"
/m/0133h8,"['wordnet_district_108552138', 'wordnet_location_100027167', 'wordnet_region_108630985', 'wordnet_region_108630039', 'wordnet_administrative_district_108491826', 'wordnet_object_100002684', 'wordnet_physical_entity_100001930']"
/m/0133jj,"['wordnet_physical_entity_100001930', 'wordnet_district_108552138', 'wordnet_location_100027167', 'wordnet_region_108630985', 'wordnet_region_108630039', 'wordnet_administrative_district_108491826', 'wordnet_object_100002684']"
/m/0133k0,"['wordnet_auditory_communication_107109019', 'wordnet_social_group_107950920', 'wordnet_group_100031264', 'wordnet_abstraction_100002137', 'wordnet_subculture_108288753', 'wordnet_expressive_style_107066659', 'wordnet_communication_100033020', 'wordnet_music_107020895', 'wordnet_music_genre_107071942']"
/m/0134bf,"['wordnet_physical_entity_100001930', 'wordnet_county_108546183', 'wordnet_location_100027167', 'wordnet_region_108630039', 'wordnet_object_100002684']"
/m/0134pk,"['wordnet_social_group_107950920', 'wordnet_rock_group_108250501', 'wordnet_musical_organization_108246613', 'wordnet_abstraction_100002137', 'wordnet_group_100031264', 'wordnet_dance_band_108249960', 'wordnet_organization_108008335']"
/m/0134s5,"['wordnet_abstraction_100002137', 'wordnet_dance_band_108249960', 'wordnet_organization_108008335', 'wordnet_social_group_107950920', 'wordnet_rock_group_108250501', 'wordnet_musical_organization_108246613', 'wordnet_group_100031264']"
/m/01352_,"['wordnet_social_group_107950920', 'wordnet_abstraction_100002137', 'wordnet_football_team_108080025', 'wordnet_group_100031264', 'wordnet_organization_108008335', 'wordnet_team_108208560', 'wordnet_unit_108189659']"
/m/0135cw,"['wordnet_abstraction_100002137', 'wordnet_organization_108008335', 'wordnet_social_group_107950920', 'wordnet_group_100031264', 'wordnet_party_108256968']"
/m/0135dr,"['wordnet_abstraction_100002137', 'wordnet_organization_108008335', 'wordnet_social_group_107950920', 'wordnet_group_100031264', 'wordnet_party_108256968']"
/m/0136kr,"['wordnet_social_group_107950920', 'wordnet_abstraction_100002137', 'wordnet_group_100031264', 'wordnet_party_108256968', 'wordnet_organization_108008335']"
/m/013719,"['wordnet_social_group_107950920', 'wordnet_university_108286569', 'wordnet_institution_108053576', 'wordnet_abstraction_100002137', 'wordnet_educational_institution_108276342', 'wordnet_group_100031264', 'wordnet_organization_108008335']"
/m/013807,"['wordnet_university_108286569', 'wordnet_institution_108053576', 'wordnet_abstraction_100002137', 'wordnet_organization_108008335', 'wordnet_school_108276720', 'wordnet_social_group_107950920', 'wordnet_educational_institution_108276342', 'wordnet_group_100031264']"
/m/0138mv,"['wordnet_social_group_107950920', 'wordnet_abstraction_100002137', 'wordnet_association_108049401', 'wordnet_group_100031264', 'wordnet_organization_108008335', 'wordnet_club_108227214']"
/m/0138t4,"['wordnet_whole_100003553', 'wordnet_structure_104341686', 'wordnet_object_100002684', 'wordnet_physical_entity_100001930', 'wordnet_building_102913152', 'wordnet_artifact_100021939']"
/m/013_5c,"['wordnet_social_group_107950920', 'wordnet_abstraction_100002137', 'wordnet_group_100031264', 'wordnet_party_108256968', 'wordnet_organization_108008335']"
/m/013fn,"['wordnet_network_108434259', 'wordnet_group_100031264', 'wordnet_system_108435388', 'wordnet_message_106253690', 'wordnet_communication_100033020', 'wordnet_broadcast_106254007', 'wordnet_abstraction_100002137']"
/m/013nky,"['wordnet_whole_100003553', 'wordnet_structure_104341686', 'wordnet_object_100002684', 'wordnet_physical_entity_100001930', 'wordnet_building_102913152', 'wordnet_artifact_100021939']"
/m/013p59,"['wordnet_physical_entity_100001930', 'wordnet_county_108546183', 'wordnet_location_100027167', 'wordnet_region_108630039', 'wordnet_object_100002684']"
/m/013rfk,"['wordnet_social_group_107950920', 'wordnet_rock_group_108250501', 'wordnet_musical_organization_108246613', 'wordnet_abstraction_100002137', 'wordnet_group_100031264', 'wordnet_dance_band_108249960', 'wordnet_organization_108008335']"
/m/013rxq,"['wordnet_auditory_communication_107109019', 'wordnet_attribute_100024264', 'wordnet_property_104916342', 'wordnet_abstraction_100002137', 'wordnet_manner_104928903', 'wordnet_expressive_style_107066659', 'wordnet_communication_100033020', 'wordnet_music_107020895', 'wordnet_music_genre_107071942']"
/m/013w2r,"['wordnet_abstraction_100002137', 'wordnet_dance_band_108249960', 'wordnet_organization_108008335', 'wordnet_social_group_107950920', 'wordnet_rock_group_108250501', 'wordnet_musical_organization_108246613', 'wordnet_group_100031264']"
/m/013w8y,"['wordnet_social_group_107950920', 'wordnet_rock_group_108250501', 'wordnet_ensemble_108188235', 'wordnet_musical_organization_108246613', 'wordnet_abstraction_100002137', 'wordnet_group_100031264', 'wordnet_dance_band_108249960', 'wordnet_organization_108008335']"
/m/013x0b,"['wordnet_institution_108053576', 'wordnet_abstraction_100002137', 'wordnet_organization_108008335', 'wordnet_social_group_107950920', 'wordnet_group_100031264', 'wordnet_company_108058098']"
/m/013xh7,"['wordnet_social_group_107950920', 'wordnet_abstraction_100002137', 'wordnet_association_108049401', 'wordnet_group_100031264', 'wordnet_organization_108008335', 'wordnet_club_108227214']"
/m/013xrm,"['wordnet_people_107942152', 'wordnet_ethnic_group_107967382', 'wordnet_abstraction_100002137', 'wordnet_group_100031264']"
/m/013y1f,"['wordnet_whole_100003553', 'wordnet_physical_entity_100001930', 'wordnet_instrumentality_103575240', 'wordnet_instrument_103574816', 'wordnet_musical_instrument_103800933', 'wordnet_device_103183080', 'wordnet_keyboard_instrument_103614532', 'wordnet_artifact_100021939', 'wordnet_object_100002684']"
/m/0140xf,"['wordnet_auditory_communication_107109019', 'wordnet_song_107048000', 'wordnet_format_106636806', 'wordnet_message_106598915', 'wordnet_abstraction_100002137', 'wordnet_information_106634376', 'wordnet_communication_100033020', 'wordnet_music_107020895', 'wordnet_musical_composition_107037465']"
/m/014162,"['wordnet_district_108552138', 'wordnet_location_100027167', 'wordnet_region_108630985', 'wordnet_region_108630039', 'wordnet_object_100002684', 'wordnet_physical_entity_100001930', 'wordnet_county_108546183']"
/m/0142rn,"['wordnet_activity_100407535', 'wordnet_psychological_feature_100023100', 'wordnet_act_100030358', 'wordnet_occupation_100582388', 'wordnet_abstraction_100002137', 'wordnet_event_100029378']"
/m/0143hl,"['wordnet_social_group_107950920', 'wordnet_university_108286569', 'wordnet_institution_108053576', 'wordnet_abstraction_100002137', 'wordnet_educational_institution_108276342', 'wordnet_group_100031264', 'wordnet_organization_108008335']"
/m/0143q0,"['wordnet_social_group_107950920', 'wordnet_rock_group_108250501', 'wordnet_musical_organization_108246613', 'wordnet_abstraction_100002137', 'wordnet_group_100031264', 'wordnet_dance_band_108249960', 'wordnet_organization_108008335']"
/m/01453,"['wordnet_social_group_107950920', 'wordnet_abstraction_100002137', 'wordnet_association_108049401', 'wordnet_group_100031264', 'wordnet_organization_108008335', 'wordnet_club_108227214']"
/m/0145rs,"['wordnet_auditory_communication_107109019', 'wordnet_format_106636806', 'wordnet_message_106598915', 'wordnet_information_106634376', 'wordnet_expressive_style_107066659', 'wordnet_communication_100033020', 'wordnet_music_107020895', 'wordnet_abstraction_100002137', 'wordnet_music_genre_107071942']"
/m/0146bp,"['wordnet_physical_condition_114034177', 'wordnet_attribute_100024264', 'wordnet_metabolic_disorder_114084502', 'wordnet_state_100024720', 'wordnet_disorder_114052403', 'wordnet_condition_113920835', 'wordnet_abstraction_100002137']"
/m/0146hc,"['wordnet_university_108286569', 'wordnet_institution_108053576', 'wordnet_abstraction_100002137', 'wordnet_organization_108008335', 'wordnet_school_108276720', 'wordnet_social_group_107950920', 'wordnet_educational_institution_108276342', 'wordnet_group_100031264']"
/m/014_lq,"['wordnet_abstraction_100002137', 'wordnet_dance_band_108249960', 'wordnet_organization_108008335', 'wordnet_social_group_107950920', 'wordnet_rock_group_108250501', 'wordnet_musical_organization_108246613', 'wordnet_group_100031264']"
/m/014b6c,"['wordnet_geographical_area_108574314', 'wordnet_location_100027167', 'wordnet_region_108630985', 'wordnet_region_108630039', 'wordnet_object_100002684', 'wordnet_physical_entity_100001930', 'wordnet_tract_108673395', 'wordnet_county_108546183', 'wordnet_site_108651247']"
/m/014ck4,"['wordnet_physical_entity_100001930', 'wordnet_district_108552138', 'wordnet_state_108654360', 'wordnet_location_100027167', 'wordnet_region_108630985', 'wordnet_administrative_district_108491826', 'wordnet_object_100002684']"
/m/014clr,"['wordnet_district_108552138', 'wordnet_state_108654360', 'wordnet_location_100027167', 'wordnet_region_108630985', 'wordnet_region_108630039', 'wordnet_administrative_district_108491826', 'wordnet_object_100002684', 'wordnet_physical_entity_100001930']"
/m/014d4v,"['wordnet_social_group_107950920', 'wordnet_university_108286569', 'wordnet_institution_108053576', 'wordnet_abstraction_100002137', 'wordnet_educational_institution_108276342', 'wordnet_group_100031264', 'wordnet_organization_108008335']"
/m/014dd0,"['wordnet_institution_108053576', 'wordnet_abstraction_100002137', 'wordnet_organization_108008335', 'wordnet_social_group_107950920', 'wordnet_group_100031264', 'wordnet_company_108058098']"
/m/014hr0,"['wordnet_social_group_107950920', 'wordnet_orchestra_108248157', 'wordnet_symphony_orchestra_108248856', 'wordnet_musical_organization_108246613', 'wordnet_abstraction_100002137', 'wordnet_group_100031264', 'wordnet_organization_108008335']"
/m/014j0w,"['wordnet_institution_108053576', 'wordnet_abstraction_100002137', 'wordnet_organization_108008335', 'wordnet_social_group_107950920', 'wordnet_group_100031264', 'wordnet_company_108058098']"
/m/014jyk,"['wordnet_social_group_107950920', 'wordnet_university_108286569', 'wordnet_institution_108053576', 'wordnet_abstraction_100002137', 'wordnet_educational_institution_108276342', 'wordnet_group_100031264', 'wordnet_organization_108008335']"
/m/014kyy,"['wordnet_social_group_107950920', 'wordnet_ensemble_108188235', 'wordnet_musical_organization_108246613', 'wordnet_abstraction_100002137', 'wordnet_group_100031264', 'wordnet_organization_108008335']"
/m/014m1m,"['wordnet_physical_entity_100001930', 'wordnet_district_108552138', 'wordnet_location_100027167', 'wordnet_region_108630985', 'wordnet_region_108630039', 'wordnet_administrative_district_108491826', 'wordnet_object_100002684']"
/m/014mlp,"['wordnet_signal_106791372', 'wordnet_academic_degree_106697331', ""wordnet_bachelor's_degree_106698252"", 'wordnet_award_106696483', 'wordnet_symbol_106806469', 'wordnet_communication_100033020', 'wordnet_abstraction_100002137']"
/m/014nzp,"['wordnet_social_group_107950920', 'wordnet_abstraction_100002137', 'wordnet_association_108049401', 'wordnet_group_100031264', 'wordnet_organization_108008335', 'wordnet_club_108227214']"
/m/014pg1,"['wordnet_social_group_107950920', 'wordnet_musical_organization_108246613', 'wordnet_abstraction_100002137', 'wordnet_group_100031264', 'wordnet_organization_108008335']"
/m/014tss,"['wordnet_district_108552138', 'wordnet_country_108544813', 'wordnet_location_100027167', 'wordnet_region_108630985', 'wordnet_administrative_district_108491826', 'wordnet_object_100002684', 'wordnet_physical_entity_100001930']"
/m/014xf6,"['wordnet_social_group_107950920', 'wordnet_university_108286569', 'wordnet_institution_108053576', 'wordnet_abstraction_100002137', 'wordnet_educational_institution_108276342', 'wordnet_group_100031264', 'wordnet_organization_108008335']"
/m/0150jk,"['wordnet_social_group_107950920', 'wordnet_rock_group_108250501', 'wordnet_musical_organization_108246613', 'wordnet_abstraction_100002137', 'wordnet_group_100031264', 'wordnet_dance_band_108249960', 'wordnet_organization_108008335']"
/m/01516r,"['wordnet_abstraction_100002137', 'wordnet_dance_band_108249960', 'wordnet_organization_108008335', 'wordnet_social_group_107950920', 'wordnet_rock_group_108250501', 'wordnet_musical_organization_108246613', 'wordnet_group_100031264']"
/m/01518s,"['wordnet_abstraction_100002137', 'wordnet_dance_band_108249960', 'wordnet_organization_108008335', 'wordnet_social_group_107950920', 'wordnet_rock_group_108250501', 'wordnet_musical_organization_108246613', 'wordnet_group_100031264']"
/m/0152n0,"['wordnet_activity_100407535', 'wordnet_diversion_100426928', 'wordnet_abstraction_100002137', 'wordnet_psychological_feature_100023100', 'wordnet_act_100030358', 'wordnet_sport_100523513', 'wordnet_event_100029378']"
/m/0152x_,"['wordnet_abstraction_100002137', 'wordnet_organization_108008335', 'wordnet_social_group_107950920', 'wordnet_group_100031264', 'wordnet_company_108058098', 'wordnet_institution_108053576', 'wordnet_subsidiary_company_108003935']"
/m/0153nq,"['wordnet_social_group_107950920', 'wordnet_musical_organization_108246613', 'wordnet_abstraction_100002137', 'wordnet_group_100031264', 'wordnet_organization_108008335']"
/m/015401,"['wordnet_social_group_107950920', 'wordnet_university_108286569', 'wordnet_institution_108053576', 'wordnet_abstraction_100002137', 'wordnet_educational_institution_108276342', 'wordnet_group_100031264', 'wordnet_organization_108008335']"
/m/0154j,"['wordnet_district_108552138', 'wordnet_country_108544813', 'wordnet_location_100027167', 'wordnet_region_108630985', 'wordnet_administrative_district_108491826', 'wordnet_object_100002684', 'wordnet_physical_entity_100001930']"
/m/0157g9,"['wordnet_district_108552138', 'wordnet_island_109316454', 'wordnet_location_100027167', 'wordnet_region_108630985', 'wordnet_archipelago_109203827', 'wordnet_administrative_district_108491826', 'wordnet_object_100002684', 'wordnet_physical_entity_100001930', 'wordnet_land_109334396']"
/m/015_1q,"['wordnet_institution_108053576', 'wordnet_abstraction_100002137', 'wordnet_organization_108008335', 'wordnet_social_group_107950920', 'wordnet_group_100031264', 'wordnet_company_108058098']"
/m/015_z1,"['wordnet_social_group_107950920', 'wordnet_abstraction_100002137', 'wordnet_association_108049401', 'wordnet_group_100031264', 'wordnet_organization_108008335', 'wordnet_club_108227214']"
/m/015cl6,"['wordnet_signal_106791372', 'wordnet_communication_100033020', 'wordnet_abstraction_100002137', 'wordnet_award_106696483', 'wordnet_symbol_106806469']"
/m/015cqh,"['wordnet_social_group_107950920', 'wordnet_rock_group_108250501', 'wordnet_musical_organization_108246613', 'wordnet_abstraction_100002137', 'wordnet_group_100031264', 'wordnet_dance_band_108249960', 'wordnet_organization_108008335']"
/m/015f47,"['wordnet_social_group_107950920', 'wordnet_abstraction_100002137', 'wordnet_association_108049401', 'wordnet_group_100031264', 'wordnet_organization_108008335', 'wordnet_team_108208560', 'wordnet_club_108227214', 'wordnet_unit_108189659']"
/m/015fr,"['wordnet_district_108552138', 'wordnet_country_108544813', 'wordnet_location_100027167', 'wordnet_region_108630985', 'wordnet_administrative_district_108491826', 'wordnet_object_100002684', 'wordnet_physical_entity_100001930']"
/m/015fs3,"['wordnet_university_108286569', 'wordnet_institution_108053576', 'wordnet_abstraction_100002137', 'wordnet_organization_108008335', 'wordnet_social_group_107950920', 'wordnet_educational_institution_108276342', 'wordnet_group_100031264']"
/m/015fsv,"['wordnet_university_108286569', 'wordnet_institution_108053576', 'wordnet_abstraction_100002137', 'wordnet_organization_108008335', 'wordnet_social_group_107950920', 'wordnet_educational_institution_108276342', 'wordnet_group_100031264']"
/m/015g1w,"['wordnet_whole_100003553', 'wordnet_museum_103800563', 'wordnet_object_100002684', 'wordnet_physical_entity_100001930', 'wordnet_facility_103315023', 'wordnet_depository_103177349', 'wordnet_artifact_100021939']"
/m/015j7,"['wordnet_statement_106722453', 'wordnet_message_106598915', 'wordnet_subject_106599788', 'wordnet_abstraction_100002137', 'wordnet_word_picture_107201804', 'wordnet_description_106724763', 'wordnet_communication_100033020', 'wordnet_portrayal_107202391']"
/m/015jr,"['wordnet_physical_entity_100001930', 'wordnet_district_108552138', 'wordnet_state_108654360', 'wordnet_location_100027167', 'wordnet_region_108630985', 'wordnet_administrative_district_108491826', 'wordnet_object_100002684']"
/m/015kg1,"['wordnet_institution_108053576', 'wordnet_abstraction_100002137', 'wordnet_organization_108008335', 'wordnet_social_group_107950920', 'wordnet_group_100031264', 'wordnet_company_108058098']"
/m/015m08,"['wordnet_physical_entity_100001930', 'wordnet_district_108552138', 'wordnet_location_100027167', 'wordnet_region_108630985', 'wordnet_region_108630039', 'wordnet_administrative_district_108491826', 'wordnet_object_100002684']"
/m/015mlw,"['wordnet_institution_108053576', 'wordnet_abstraction_100002137', 'wordnet_organization_108008335', 'wordnet_social_group_107950920', 'wordnet_group_100031264', 'wordnet_company_108058098']"
/m/015nl4,"['wordnet_school_108276720', 'wordnet_social_group_107950920', 'wordnet_university_108286569', 'wordnet_institution_108053576', 'wordnet_abstraction_100002137', 'wordnet_educational_institution_108276342', 'wordnet_group_100031264', 'wordnet_organization_108008335']"
/m/015p1m,"['wordnet_financial_institution_108054721', 'wordnet_social_group_107950920', 'wordnet_group_100031264', 'wordnet_depository_financial_institution_108420278', 'wordnet_organization_108008335', 'wordnet_institution_108053576', 'wordnet_abstraction_100002137']"
/m/015q02,"['wordnet_physical_entity_100001930', 'wordnet_district_108552138', 'wordnet_location_100027167', 'wordnet_region_108630985', 'wordnet_administrative_district_108491826', 'wordnet_object_100002684']"
/m/015q1n,"['wordnet_university_108286569', 'wordnet_institution_108053576', 'wordnet_abstraction_100002137', 'wordnet_organization_108008335', 'wordnet_social_group_107950920', 'wordnet_educational_institution_108276342', 'wordnet_group_100031264']"
/m/015qh,"['wordnet_district_108552138', 'wordnet_country_108544813', 'wordnet_location_100027167', 'wordnet_region_108630985', 'wordnet_administrative_district_108491826', 'wordnet_object_100002684', 'wordnet_empire_108557482', 'wordnet_domain_108556491', 'wordnet_physical_entity_100001930']"
/m/015srx,"['wordnet_social_group_107950920', 'wordnet_musical_organization_108246613', 'wordnet_abstraction_100002137', 'wordnet_group_100031264', 'wordnet_organization_108008335']"
/m/015vgc,"['wordnet_manner_104928903', 'wordnet_auditory_communication_107109019', 'wordnet_expressive_style_107066659', 'wordnet_attribute_100024264', 'wordnet_communication_100033020', 'wordnet_music_107020895', 'wordnet_property_104916342', 'wordnet_abstraction_100002137', 'wordnet_music_genre_107071942']"
/m/015wd7,"['wordnet_auditory_communication_107109019', 'wordnet_attribute_100024264', 'wordnet_property_104916342', 'wordnet_manner_104928903', 'wordnet_expressive_style_107066659', 'wordnet_communication_100033020', 'wordnet_music_107020895', 'wordnet_abstraction_100002137', 'wordnet_music_genre_107071942']"
/m/015wy_,"['wordnet_social_group_107950920', 'wordnet_educational_institution_108276342', 'wordnet_group_100031264', 'wordnet_university_108286569', 'wordnet_organization_108008335', 'wordnet_institution_108053576', 'wordnet_abstraction_100002137']"
/m/015y3j,"['wordnet_university_108286569', 'wordnet_institution_108053576', 'wordnet_abstraction_100002137', 'wordnet_organization_108008335', 'wordnet_social_group_107950920', 'wordnet_educational_institution_108276342', 'wordnet_group_100031264']"
/m/0160nk,"['wordnet_university_108286569', 'wordnet_institution_108053576', 'wordnet_abstraction_100002137', 'wordnet_organization_108008335', 'wordnet_school_108276720', 'wordnet_social_group_107950920', 'wordnet_educational_institution_108276342', 'wordnet_group_100031264']"
/m/0161c,"['wordnet_district_108552138', 'wordnet_country_108544813', 'wordnet_location_100027167', 'wordnet_region_108630985', 'wordnet_administrative_district_108491826', 'wordnet_object_100002684', 'wordnet_physical_entity_100001930']"
/m/0161rf,"['wordnet_auditory_communication_107109019', 'wordnet_format_106636806', 'wordnet_message_106598915', 'wordnet_abstraction_100002137', 'wordnet_information_106634376', 'wordnet_expressive_style_107066659', 'wordnet_communication_100033020', 'wordnet_music_107020895', 'wordnet_music_genre_107071942']"
/m/0162b,"['wordnet_district_108552138', 'wordnet_country_108544813', 'wordnet_location_100027167', 'wordnet_region_108630985', 'wordnet_region_108630039', 'wordnet_administrative_district_108491826', 'wordnet_object_100002684', 'wordnet_physical_entity_100001930']"
/m/0162kb,"['wordnet_legislature_108163273', 'wordnet_social_group_107950920', 'wordnet_assembly_108163792', 'wordnet_gathering_107975026', 'wordnet_group_100031264', 'wordnet_abstraction_100002137', 'wordnet_parliament_108319198']"
/m/01634x,"['wordnet_abstraction_100002137', 'wordnet_association_108049401', 'wordnet_organization_108008335', 'wordnet_team_108208560', 'wordnet_unit_108189659', 'wordnet_social_group_107950920', 'wordnet_group_100031264', 'wordnet_club_108227214']"
/m/0163m1,"['wordnet_social_group_107950920', 'wordnet_ensemble_108188235', 'wordnet_musical_organization_108246613', 'wordnet_abstraction_100002137', 'wordnet_group_100031264', 'wordnet_organization_108008335']"
