,node_id,parent_id,level,customers,top_words
57,15,8.0,2,60,"['/sports/sports_team/roster./american_football/football_historical_roster_position/position_s', ' /american_football/football_team/current_roster./sports/sports_team_roster/position', ' /sports/sports_team/roster./american_football/football_roster_position/position', ' /m/06b1q', ' /m/01r3hr']"
58,18,8.0,2,7,"['/organization/role/leaders./organization/leadership/organization', ' /business/job_title/people_with_this_title./business/employment_tenure/company', ' /m/04_j5s', ' /m/02nvg1', ' /m/02bb47']"
59,19,8.0,2,6,"['/m/011yxy', ' /m/0bj9k', ' /m/02lp0w', ' /m/0100mt', ' /m/0170z3']"
60,23,8.0,2,82,"['/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film', ' /award/award_nominee/award_nominations./award/award_nomination/nominated_for', ' /award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /music/record_label/artist', ' /m/02vxn']"
61,26,8.0,2,7,"['/m/01ztgm', ' /m/01c9d', ' /m/0274v0r', ' /m/065z3_x', ' /m/05q5t0b']"
62,29,8.0,2,134,"['/music/record_label/artist', ' /organization/organization/child./organization/organization_relationship/child', ' /m/01w524f', ' /m/01w60_p', ' /m/0qf3p']"
63,34,8.0,2,12,"['/government/government_office_category/officeholders./government/government_position_held/jurisdiction_of_office', ' /government/legislative_session/members./government/government_position_held/district_represented', ' /government/legislative_session/members./government/government_position_held/legislative_sessions', ' /m/03v1s', ' /m/0824r']"
64,35,8.0,2,10,"['/m/03b_fm5', ' /m/0s2z0', ' /m/01z28b', ' /m/0p4v_', ' /m/0k_p5']"
65,59,8.0,2,8,"['/m/07q1m', ' /m/0qmd5', ' /m/09zmys', ' /m/0191n', ' /m/0x335']"
66,63,8.0,2,31,"['/m/0c8tk', ' /m/026sdt1', ' /m/0c6g29', ' /m/019fbp', ' /m/07c9s']"
67,86,8.0,2,15,"['/m/04vmp', ' /m/03j6c', ' /m/04jwjq', ' /m/0b6k___', ' /m/03k50']"
68,89,8.0,2,8,"['/m/02qm_f', ' /m/03x7hd', ' /m/013mzh', ' /m/0167q3', ' /m/085wqm']"
69,97,8.0,2,9,"['/m/0fn2g', ' /m/03c_cxn', ' /m/0ply0', ' /m/0bh8drv', ' /m/04qw17']"
70,98,8.0,2,8,"['/film/special_film_performance_type/film_performance_type./film/performance/film', ' /m/01fx4k', ' /m/03h64', ' /m/08vd2q', ' /m/0194_r']"
71,106,8.0,2,7,"['/m/05hj_k', ' /m/0d35y', ' /m/02_286', ' /m/0gl02yg', ' /m/039fgy']"
72,107,8.0,2,9,"['/m/01vtj38', ' /m/027d5g5', ' /m/0170_p', ' /m/027ct7c', ' /m/0267wwv']"
73,118,8.0,2,9,"['/m/029kpy', ' /m/03r8tl', ' /m/030z4z', ' /m/0z18v', ' /m/01_yvy']"
74,120,8.0,2,9,"['/m/0fr0t', ' /m/021wpb', ' /m/0bbgvp', ' /m/02qyp19', ' /m/03r00m']"
75,125,8.0,2,1,"['/m/0z20d', ' /m/02jm9c', ' /m/02jknp', ' /m/02jkkv', ' /m/02jjt']"
76,11,0.0,1,745,"['/award/award_nominee/award_nominations./award/award_nomination/award', ' /people/person/profession', ' /film/director/film', ' /people/person/nationality', ' /m/05zppz']"
77,12,11.0,2,282,"['/award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /award/award_winner/awards_won./award/award_honor/award_winner', ' /film/actor/film./film/performance/film', ' /award/award_nominee/award_nominations./award/award_nomination/nominated_for', ' /award/award_nominee/award_nominations./award/award_nomination/award']"
78,16,11.0,2,12,"['/m/010z5n', ' /m/0gq_d', ' /m/0k419', ' /m/01nvmd_', ' /m/0fpzwf']"
79,21,11.0,2,339,"['/influence/influence_node/influenced_by', ' /m/0cbd2', ' /people/person/religion', ' /people/person/places_lived./people/place_lived/location', ' /m/0kyk']"
80,36,11.0,2,5,"['/m/03kbr', ' /m/0776drd', ' /m/03rbj2', ' /m/01zxx9', ' /m/061y4q']"
81,44,11.0,2,10,"['/music/performance_role/regular_performances./music/group_membership/group', ' /music/performance_role/regular_performances./music/group_membership/role', ' /music/performance_role/track_performances./music/track_contribution/role', ' /music/performance_role/guest_performances./music/recording_contribution/performance_role', ' /music/instrument/instrumentalists']"
82,49,11.0,2,5,"['/m/018wng', ' /m/05sxg2', ' /m/0g1rw', ' /m/0t_2', ' /m/0kxf1']"
83,50,11.0,2,32,"['/government/political_party/politicians_in_this_party./government/political_party_tenure/politician', ' /m/0kfv9', ' /organization/organization/child./organization/organization_relationship/child', ' /m/01j67j', ' /m/0b1f49']"
84,71,11.0,2,16,"['/m/0gcpc', ' /m/0gt14', ' /base/popstra/celebrity/friendship./base/popstra/friendship/participant', ' /m/0gxfz', ' /m/083skw']"
85,76,11.0,2,6,"['/m/03ysmg', ' /m/01nv4h', ' /m/0hl3d', ' /m/053j4w4', ' /m/01ktz1']"
86,81,11.0,2,5,"['/m/0n920', ' /m/0cqh6z', ' /m/01pnn3', ' /m/0789_m', ' /m/0gqzz']"
87,84,11.0,2,7,"['/m/0vm4s', ' /m/02rv_dz', ' /m/0bj25', ' /m/0340hj', ' /m/03rbj2']"
88,85,11.0,2,9,"['/m/0f2r6', ' /m/0gvx_', ' /m/06929s', ' /m/03y8cbv', ' /m/04lhc4']"
89,94,11.0,2,7,"['/m/015h31', ' /m/03rt9', ' /m/0k2cb', ' /m/0n2g', ' /m/025m8l']"
90,103,11.0,2,10,"['/m/03fcbb', ' /m/02r858_', ' /m/05pq9', ' /m/0fqyzz', ' /m/0bm9xk']"
91,24,0.0,1,727,"['/m/09nqf', ' /education/educational_institution/students_graduates./education/education/major_field_of_study', ' /education/educational_institution/colors', ' /education/educational_institution/school_type', ' /m/08mbj5d']"
92,25,24.0,2,599,"['/education/educational_institution/students_graduates./education/education/student', ' /education/educational_institution/students_graduates./education/education/major_field_of_study', ' /m/09nqf', ' /education/educational_institution/colors', ' /organization/endowed_organization/endowment./measurement_unit/dated_money_value/currency']"
93,33,24.0,2,9,"['/m/0g251', ' /m/0prhz', ' /media_common/netflix_genre/titles', ' /m/01sby_', ' /m/0jqb8']"
94,41,24.0,2,16,"['/sports/professional_sports_team/draft_picks./sports/sports_league_draft_pick/school', ' /sports/sports_team/roster./baseball/baseball_roster_position/position', ' /baseball/baseball_team/team_stats./baseball/baseball_team_stats/season', ' /sports/professional_sports_team/draft_picks./sports/sports_league_draft_pick/draft', ' /sports/sports_team/colors']"
95,43,24.0,2,4,"['/m/02ynfr', ' /m/0k_p5', ' /m/02qrwjt', ' /m/0947l', ' /m/09fn1w']"
96,51,24.0,2,11,"['/m/01x209s', ' /m/0f4vbz', ' /m/0fy34l', ' /m/024dzn', ' /m/096lf_']"
97,57,24.0,2,22,"['/tv/tv_network/programs./tv/tv_network_duration/program', ' /media_common/netflix_genre/titles', ' /award/award_winner/awards_won./award/award_honor/award_winner', ' /award/award_nominee/award_nominations./award/award_nomination/nominated_for', ' /organization/organization/child./organization/organization_relationship/child']"
98,62,24.0,2,4,"['/m/0bdt8', ' /m/0gqwc', ' /m/03wf1p2', ' /m/09btk', ' /m/0hm0k']"
99,67,24.0,2,12,"['/m/03c6vl', ' /m/02pp_q_', ' /m/0g60z', ' /m/03wbzp', ' /m/027qgy']"
100,73,24.0,2,12,"['/m/031x_3', ' /m/01sn3', ' /m/02581c', ' /m/0277jc', ' /m/0jymd']"
101,74,24.0,2,14,"['/m/01kf3_9', ' /m/0p7pw', ' /m/0k20s', ' /m/0gr69', ' /m/0d1qmz']"
102,108,24.0,2,6,"['/m/043n0v_', ' /m/02fttd', ' /m/02qr3k8', ' /m/0f2r6', ' /m/0h6r5']"
103,115,24.0,2,10,"['/m/09b0xs', ' /m/015c2f', ' /m/016tvq', ' /m/03j6c', ' /m/010t4v']"
104,116,24.0,2,7,"['/m/056_y', ' /m/099md', ' /m/010y34', ' /award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /m/0cqnss']"
105,129,24.0,2,1,"['/m/06mzp', ' /m/02jm0n', ' /m/02jknp', ' /m/02jkkv', ' /m/02jjt']"
106,37,0.0,1,105,"['/award/award_nominee/award_nominations./award/award_nomination/award', ' /award/award_nominee/award_nominations./award/award_nomination/nominated_for', ' /film/director/film', ' /common/topic/webpage./common/webpage/category', ' /people/person/profession']"
107,53,37.0,2,4,"['/m/015gm8', ' /m/0gnkb', ' /m/02q52q', ' /m/0r7fy', ' /m/054ky1']"
108,61,37.0,2,11,"['/m/0djd3', ' /base/popstra/celebrity/dated./base/popstra/dated/participant', ' /m/011yxg', ' /m/03p2m1', ' /m/06wxw']"
109,64,37.0,2,7,"['/m/09v6tz', ' /m/04tqtl', ' /m/0184jw', ' /m/02sj1x', ' /m/02lz1s']"
110,65,37.0,2,6,"['/m/02cbhg', ' /m/02mpyh', ' /m/0pv3x', ' /m/0162c8', ' /m/01my95']"
111,68,37.0,2,15,"['/base/americancomedy/celebrity_impressionist/celebrities_impersonated', ' /m/0157m', ' /m/09b6zr', ' /education/field_of_study/students_majoring./education/education/major_field_of_study', ' /education/field_of_study/students_majoring./education/education/student']"
112,69,37.0,2,10,"['/m/03cvwkr', ' /m/021pqy', ' /m/01c9d', ' /m/01wrcxr', ' /m/04954r']"
113,100,37.0,2,6,"['/m/02frhbc', ' /m/0k2sk', ' /m/09qj50', ' /m/063zky', ' /m/07bdd_']"
114,101,37.0,2,7,"['/m/0233bn', ' /m/0432_5', ' /m/0qr8z', ' /m/09v4bym', ' /m/03h64']"
115,102,37.0,2,7,"['/m/019q50', ' /organization/endowed_organization/endowment./measurement_unit/dated_money_value/currency', ' /m/047951', ' /m/016722', ' /m/029cr']"
116,109,37.0,2,8,"['/m/0r0m6', ' /m/01gf5h', ' /m/024lff', ' /m/0fg6k', ' /m/0164qt']"
117,110,37.0,2,11,"['/m/011yqc', ' /m/06mxs', ' /m/0bdg5', ' /m/0ds11z', ' /m/050r1z']"
118,117,37.0,2,4,"['/m/0n1h', ' /m/0fcrg', ' /m/070fnm', ' /m/0cq8nx', ' /m/094vf']"
119,123,37.0,2,9,"['/m/05ywg', ' /m/0b2qtl', ' /m/026qnh6', ' /m/09zf_q', ' /m/0ft18']"
